Batching,"A batch represents a list of tasks that can be performed together. Only specific tasktypes can be combined into a batch and each batch consists of only one type oftask. The type of task is determined based on the pick strategy.If a container and shipment has multiple types of pick tasks, the container andshipment is split into multiple batches and consolidation is required for packingand shipping. Batching is used in many scenarios, including the following: Outbound Shipments (with or without containers) Replenishments Work Order Pick Put away (Inbound, Work Order, Replenishment final step)Batch SizeBatch size depends on the type of task. Batch size can be defined by variousparameters such as the following: Maximum number of transactions (task reference such as wave number,containers, shipments or work orders) Maximum volume Maximum number of tasksBatch size is also determined by the following factors: The capacity of the picking equipment used, since different types of tasks mayrequire different sizes of carts The potential volume and dimensions of the shipping carton, whencontainerization is being performed The real volume and dimensions of the items, when being packaged into ashipmentThe application assumes that picking carts are available for any number of batchescreated but does not consider the inventory availability of picking carts.When a batch is created, it is not automatically assigned a specific cart number;however, during the picking process, a specific cart can be associated with thatbatch.Equipment used for batching must have at least one location. Each cart can havemultiple locations. When cart locations are defined, in addition to the maximumlimits specified for the batch, the size of the batch is also restricted based on thecart location definition.Batch CreationBatches can be created manually or triggered automatically, and the algorithm forbatch triggering is extensible.Manual Batch CreationDuring the manual creation of a batch, a user can scan a set of containers andshipments and request the application to create a batch based on those items. Or ina pick and pass environment, each picker in a zone may create a batch for efficientpicking of multiple containers and shipments in a zone. Lists of containers andshipments for a batch can change from one zone to another.Automatic Batch CreationAutomatic batch creation can be triggered by any of the following means:Created and printed online—when the user is waiting for the batch to printbefore executing the next receipt. For example, if receipts are recorded on apallet, when a user closes pallet, all put away tasks for the pallet need to bebatched together and printed immediately. Event triggered—such as Wave Release and ASN Closure. Time triggered—when batching is time triggered, batching may be triggered torun for a specific type of task. The maximum number of batches to be createdcan also be specified. Users may request creation of next batch for a specific task type. On request, theapplication creates one batch and print batch created. In this scenario, creation ofbatch is postponed until the last minute to gain maximum picking efficiency.Cost Based OptimizationThe Sterling Warehouse Management System optimizes the batch created byassociating costs with criteria, which includes locations, aisles, zones and locations.The cost is determined by using the Standard Allowed Minutes (SAM) against thetask type. The list of tasks to create a batch are run through multiple iterations inthe cost based optimizer. At each iteration the previous iteration's result is furtheroptimized. During each iteration the cost is compared and the least cost optionchosen as the best batch.During the process of optimizing the batch constraints standard constraintsincluding a container not being split across batches or when creating a batch fororder pick a shipment is not split across batches. Equipment capacity defined isconsidered to determine the maximum number of units or containers that can beon a batch. Additionally, task type configuration based on the maximum numberof primary references is also considered to limit the batch size. For example,during outbound pick, shipment number or container number is referenced orduring work order pick, work order number is a primary reference.Batch Picking ExecutionPicking for a batch can be through any of the following methods. Printing Batch Sheets—the application can print a batch sheet during any of thefollowing events:– During wave release process– As and when batches are created– Users requesting next batch to print (dispatching a batch to printer) Users can carry out the picking process using printed batch sheet and reportpicking process to the application. The printed batch sheet can be formattedaccording to the type of batch as follows:– Batch of Containers, sort while picking– Batch of Shipments, sort while picking– Batch of containers, no sorting while picking– Batch of Shipments, no sorting while pickingWhen a batch sheet is printed, in addition to batch number, the application canprint check digit and code mapping. In a paper-based picking environment, theuser may be required to enter this check digit or code during batch confirmation.This is to ensure that batches are confirmed on system only subsequent to printingof the batch sheets.Batch sheet printout also includes any special instructions (for example, put away,picking, packing) based on the following criteria: SKU being picked Customer OrderWhile confirming batch sheets, all exceptions such as short picks, over picks, anddamages can be recorded and corresponding event or actions can be taken toaddress these exceptions.Executing Pick Using Handheld DevicesUsers can initiate pick for a batch by scanning a batch sheet or the application cansuggest a batch to a user for picking. Picking can be completed using handhelddevices by scanning location, item bar code, a shipment, and container.Products picked may or may not be sorted during pick.Executing pick using integration with external material handling equipment.Pick batches created can be sent to external systems such as pick to light or othermaterial handling equipment. Warehouse has the visibility to whether batch is sentto material handling equipment or not. Warehouse can re-send the data to thematerial handling equipment, if required.Multiple-Step ExecutionPicking a batch can include multiple steps. The application can track all steps forexecuting a batch. Different steps include:1. Preparation of picking cart (placing empty containers or totes in a cart)2. Picking of items to a cart3. Packing containers in a cart4. Closing containers"
Productivity Management,"The productivity management enables you to model warehouse activities andmeasure productivity of the workers performing their activities.Activities are of different kinds. Based on the nature of each activity, differentvariables are captured to measure productivity. For example, the number of casesmoved and number of locations visited. For each variable or dimension, a SAM(standard allowable minutes) is associated. The total minutes that may be creditedfor each task is a function of the variables and the SAM associated with them. Awarehouse analyzes the time involved in doing each small part of an activity todefine the SAM for each dimension.The variables are a characteristic of a task type. Some task types require only a fewof the variables. For example, the variable ""number of locations visited"" isapplicable only to picking or replenishment tasks and not applicable to packing ormanifesting process.The application enables you to configure a list of variables that are applicable to aspecific activity and define SAM to each variable in an activity. SAM is definedagainst a task type for determining the efficiency of a user. For example, awarehouse allows defined minutes to be at a location, time to pick a case and thetime taken if aisles are being traversed.The application issues time credits to users based on the actual tasks performedand SAM defined for each activity. This information enables you to perform thefollowing worker-based activities:Identify labor efficiency of each user Compare labor efficiency between users Measure productivity associated with an activity and use this information torefine SAM Support activity based compensation Get daily feedback on performance relative to goals"
Deriving Labor Standards,"Sterling Selling and Fulfillment Foundation provides the ability to automaticallyderive labor standards based on the historical data of tasks or activities performedby warehouse users over a period of time. Labor standards are derived based onthe following algorithm: For selected users, the set of tasks completed by each user in a shift, trip, or aday are grouped as samples. For every sample, collect the following metrics:– Time spent by the user to complete the task (""time"").– Number of tasks completed by the user in the given period of time(""numTasks"").– Distance covered by the user (""distance"").– Number of locations visited by the user (""numLocs"").– Weight borne by the user (""weight"").– Amount of time to credit to the user (""creditedTime"").You can collect these metrics for a user for various samples as illustrated inthe following table.Assuming that the labor standards for a user are constant over a period oftime, the user is given full credit at the start time. Therefore, credited time forthe user is the same as the time taken by the user to complete the task.The credited time for each user sample is calculated according to the followingexpressions:C1 = SN.N1 + SD.D1 + SNL.NL1 + SW.W1C2 = SN.N2 + SD.D2 + SNL.NL2 + SW.W2C3 = SN.N3 + SD.D3 + SNL.NL3 + SW.W3where:SN = Allowed minutes per taskSD = Allowed minutes per unit distanceSNL = Allowed minutes per locationSW = Allowed minutes per unit weightC1 = Credited time for the first sampleC2 = Credited time for the second sampleC3 = Credited time for the third sampleThe linear system of equations above is solved for SN, SD, SNL, and SW in such away that the error (Ti – Ci)2 is minimum.Ability to Set Standards for the Selected UsersLabor standards are derived by setting standards for given set of users. Whenderiving labor standards, you can set a user to be X % efficient based on the datacollated for a user. In this case, the credited time for each sample is equal to(X/100) *T, where 'T' is the actual time taken to complete a task."
Consigned Inventory,"Consigned Inventory is a concept in which vendors own inventory for enterprises.The basic premise of consigned inventory is to delay the transfer of ownership andother transactions until the last point in Sterling Selling and FulfillmentFoundation.This reduces the cost of carrying the inventory and the lead time.The inventory organizations participating in consigned inventory are calledconsumable inventory organizations and consuming inventory organizations. Aconsuming inventory organization can choose a list of consumable inventoryorganizations to participate with.Based on the rules configured during execution in the warehouse, the inventoryget transferred from the consumable inventory organization to the consuminginventory organization.The catalog organization can be different between inventory organizations, thus thesame product can be modeled as different items in different catalogs. In such asituation, the system uses GlobalItemID (GTIN) to reference to these items."
Reverse Logistics,"Reverse Logistics is the process of handling return of products from a consumer ora retailer to a manufacturer through the use of the supply chain. Reverse Logisticsalso encompasses recycling of packaging and containers, reconditioning orrefurbishing of products and disposition of obsolete goods.Reverse logistics is one of the least focused areas for many companies. However,the ability to recuperate assets and revenue in the supply chain is causing a refocusin this area. There is a lack of understanding of what is being returned and why.The strategies followed in reverse logistics are disparate due to the type of SKUsbeing handled. For example, an online consumable retailer and an electronicsretailer.The Sterling Warehouse Management System Reverse Logistics providescomprehensive capabilities to manage ""end-to-end"" process of reverse logistics forall types of companies including retailers, manufacturers and third party reverselogistics providers. The reverse logistics process covers all aspects like creating areturn authorization, disposition of the product and the inventory returned isrestocked, returned to vendor or scrapped.The Sterling Warehouse Management System breaks up a return into individualSKUs along with their disposition. Visibility provided to the disposition in thereturns department allows for aggregation and routing of inventory to therespective areas. Routing in the Sterling Warehouse Management System is amulti-step process that incorporates requirements like refurbishment andrepackaging before an inventory is restocked. The additional fields inventoryattributes recorded include reason code, lot number, revision numbers and serialnumber.The granular visibility provided through recording of the information allowstracking of inventory from the time of receipt and through the multi-stepdisposition process before an item is putaway to the appropriate area. Audit trail isalso provided to track activities performed at a granular level, which includesreturn number, item, reason codes, disposition, inventory attributes and user.Many companies are unaware of the amount of inventory tied up in the return andrepair process. High-value products and parts may sit in technicians' vans orinspection centers for weeks before they are sent for repair or returned to stock.Often these parts require no repair and could immediately be resold to anothercustomer. The Sterling Warehouse Management System Reverse Logistics enablescompanies to effectively track items throughout the return and repair process andautomates the procedures that return items to stock. Real-time status updates fromservice and repair organizations enable your company to truly leverage the reverselogistics cycle as a source of supply."
Receipt,"A Return Authorization (RA) can be either created on IBM Sterling ReverseLogistics or downloaded from external host systems. There are situations wheninventory is returned due to a customer refusal or without using the properchannels. The Sterling Warehouse Management System allows to create blindreturns.Pre-ReceiptThe common practice is to temporarily stage packages that are returned for laterprocessing. These packages may be putaway to specified areas to be retrieved laterfor inspection.The Sterling Warehouse Management System allows for receipt at the number ofpackages level. A package, if necessary, is assigned an individual case or palletwith LPN label to facilitate retrieval and visibility. Business process configurationallows for a putaway request to be automatically initiated.Return ReceiptA return in the Sterling Warehouse Management System is received based on theinformation that is available on the package or an item. SKU-level attributes alsoinfluence the method of receipt.Receipt on the Sterling Warehouse Management System is completed throughconsoles. A RA worksheet can be printed for paper-based warehouses. A userscanning or entering either the return number, serial number, or container idinitiates a receipt of the return. Capturing serial numbers are mandatory forserialized items and verification can be performed using extensibility against theiroriginal shipments. The Sterling Warehouse Management System also allows forintegration with external systems to validated serial number. A case or pallet withLPN associated during the receipt process allows for tracking and movement ofinventory. Inventory is tracked at the returns receipt location. In addition, otherinventory attributes such as lot number, revision number are recorded, if necessary.Business process configuration in the Sterling Warehouse Management Systemallows definition of the steps to be followed in a warehouse. The status of RAindicates the activity being performed or completed on the RA."
Disposition,"The Sterling Warehouse Management System provides visibility to RAs that arepending disposition. A user issues a move request to retrieve RAs to continue withthe inspection process. All tasks are created and monitored by Task Management.The Sterling Warehouse Management System completes product disposition byassociating a reason code and disposition code to the inventory. It also supportsmulti-step disposition for a SKU. For example, an item may require repairing,packaging and labeling before restocking. The Sterling Warehouse ManagementSystem business process configuration allows for status tracking at each of thesesteps.The Sterling Warehouse Management System VAS process is used to generate workorders for tracking the repair process. A work order can span across multiple RAs.The Sterling Warehouse Management System outbound process allows for transferor repair orders to an external vendor. Transfer orders are used when products arereturned to a vendor."
Return Receipt Putaway,"The completion of the disposition process initiates the putaway of product. Theputaway process can be automated through a move request or manually requested.During putaway, the Sterling Warehouse Management System considers thepreferences setup at an item and location level. For more information aboutconstraints and preferences, see the topic, Putaway. This is carried out throughRadio Frequency (RF) Mobile Terminal, batch sheet or by interfacing with MHE.The task management of the Sterling Warehouse Management System controls thetask execution."
Close Return Receipt,"The closure of a return receipt is based on business rules that are specified for awarehouse. Receipts may be closed either automatically on expected quantity beingreceived, as an end-of-day process, or when putaway process is complete. Closurecan also be initiated manually from the console.The closure of a return receipt may be communicated to external systems. Theclosure of an return is initiated by external systems."
Receipt Visibility,"Visibility to returns is provided through a console. The console is divided intosearch through the return as they are created, released and then received in awarehouse. This section refers to visibility provided to the receipt of a return in awarehouse. For more information about visibility provided for returns and itsreleases before receipt, see the Sterling Selling and Fulfillment Foundation ReverseLogistics User Guide.The combinations of attributes used to search for a return receipt are betterillustrated through use cases or examples, which include: View all returns received from a buyer in the last 30 daysCriteria used includes buyer, status and receipt date range View all returns where inspection is complete and for a particular dispositionCriteria used include disposition code and check 'Inspection Completed' View if a particular serial number was returnedCriteria used include serial number View the return associated with a particular LPNCriteria used include Case ID or Pallet ID"
Using Value-Added Services,"Value-Added Services (VAS) are performed to meet customer demands. They canbe activities performed on a product before the product is delivered to thecustomer, or a provided service that is performed at the customer site.Activities can be performed at all types of facilities including manufacturingfacilities and flow-through or distribution centers. Some examples of VAS done atthe vendor site are:A vendor applies a license plate number (LPN) label on a carton based on themanufacturer's specification. A manufacturer applies price ticket or SKU labels based on the requirements of aretailer. A warehouse builds a pallet using customer requirements. A warehouse applies security tags on a class of items before shipping to certainretailers. A warehouse assembles components and builds a kit before shipping.Provided services are usually purchased by the customer for an additional fee.Some examples of activities that are offered as a provided service are: Installing a customer's home theater system. Providing maintenance to a furnace as part of a service contract.Installing software on a new computer, and configuring the computer to work on ahome network.Some examples of how value added services are used within the manufacturing,vendor, or shipping facilities are: VAS for stocking — a facility performs the VAS operations for stockingperiodically on the basis of expected demand for a product. For example, awarehouse ships pens, pencils and erasers separately. In addition, thatwarehouse may also ship a student package, which consists of 2 pens, 2 pencilsand an eraser. VAS for a customer — this type of VAS operation is performed to meet specificcustomer requirements, such as special ticketing or security tagging. The SterlingSelling and Fulfillment Foundation allows the customization of inventory for abuyer at a node and ensures allocation to that customer. This scenario is referredto as made-to-customer, or buyer compliance. The customer usually makesrepeated purchases of these specialized items. This type of VAS is performed ina warehouse based on the demand forecast to reduce order cycle time. VAS for an order — this is applicable when:– A customer selects a customization when ordering an item, like monogam ona shirt. The Sterling Selling and Fulfillment Foundation creates a work orderto perform these services in a warehouse and ensures that inventory isallocated only to that order. This is also referred to as made-to-order.– A customer orders a dynamic physical kit and selects the requiredcomponents for that item. The Sterling Selling and Fulfillment Foundation.creates a work order to assemble the kit and ensures that the inventory of theassembled unit is allocated only to that order. This is also referred to as Builtto Order, or made-to-order.– Inbound shipments that require packaging. Parts received that requirepackaging to a specified unit of measure. Breaking kits or Dekitting — this is performed on kits in inventory that are notrequired anymore. For example, inventory leftover from a seasonal promotionmay be dekitted and the components can be used in other kits or soldindividually. Unit of Measure (UOM) Conversions — a warehouse may create a work orderto convert inventory from one UOM to another. For example, a warehouse maytrack inventory of screws individually as well as in packs of 50. A work order iscreated to convert single inventory units to packs of 50. Gift Wrap Services — a ship node may offer gift wrap services on items that areeligible for gift wrap. This flag is enabled for a node during Participant Setupfor Sourcing/Scheduling Node Attributes."
Postponing Item Creation,"One approach to providing Value-Added Services at the warehouse or otherfacility is to delay customization processes until an order is received. This isreferred to as 'postponement'. The warehouse stores generic product awaiting thecustomer demand to customize the product. After receiving an order, additionalservices are performed on the generic inventory to convert the generic inventoryinto customer requested specific inventory. This increases the order cycle timewhile reducing the risk of unusable inventory. An example of a postponementprocess is shown in the following figure.In the Sterling Selling and Fulfillment Foundation, value-added services areexecuted by creating a work order. A work order is initiated automatically based on a demand, or manually by a user. The Sterling Selling and FulfillmentFoundation manages the execution of a work order through retrieval of inventoryto the VAS department, recording of completion towards the final inventory, andputaway of the product to appropriate departments."
Work Order Creation,"A work order in the Sterling Selling and Fulfillment Foundation captures theactivity required to perform a service. A work order is created in the SterlingSelling and Fulfillment Foundation by one of the following methods: Manual creation - A user initiates a request using the Work Order Console forrepackaging, UOM conversions, labeling, or dekitting. Automatic creation based on Inventory levels - A request is issued by theinventory monitor in the Sterling Selling and Fulfillment Foundation uponminimum or maximum levels being reached for a SKU. Automatic creation based on an order - A request issued by a sales order for anitem on the order. This typically occurs for made-to-order or made-to-customeritems.When a work order is created, it consists of one or more of the following types ofservices: Kitting Service - Assembling components for a kit item Dekitting Service - Disassembling a kit item. This may be done to acquire anindividual component to complete another order. Compliance Service - Value-added services that should be performed to supplyan item to a specific buyer for made-to-customer orders. Inventory Change - Converting inventory from one UOM to another. Provided Service - Service executed at a customer site. Delivery Service - Service executed for product delivery to the customer site.One or more services can be included in a work order, and have a sequencenumber assigned which indicates the order in which they should be performed.Each service can contain one or more service activities, which specifies the categoryof activity, such as Assemble Components, Apply Logos, or Pack Components.Provided Services are not combined with other services."
Work Order Hold Type,The Sterling Warehouse Management System provides the ability to put workorders on multiple types of hold and manage them. An extensive search capabilityinto work orders that are put on hold is provided. Visibility into a detailed historyof all holds that were ever put on a work order is provided.
Work Order Execution,"The Sterling Warehouse Management System allows a warehouse to select a groupof work orders based on the work order attributes and release them for execution.A work order may have one or more activities representing each step of physicalwork to be completed in a warehouse. For example, a work order for cell phoneassembly involves placing of components into a unit box, actually assembly ofcomponents, frequency programming and testing.The Sterling Warehouse Management System assigns specific VAS stations to eachactivity in the work order where VAS is performed based on the product. A cellphone assembly process differs from that of a radio assembly.The Sterling Warehouse Management System retrieval algorithms are used torelease the work order. Partial allocation of a work order is also permitted awaitingcomplete release at a later date or time. The algorithm used determines the optimalretrieval locations based on the quantities requested and the closeness to the VASstation. Inventory is retrieved to the VAS station. Components are retrieved usingRadio Frequency (RF) Mobile Terminal, batch sheets or by integrating with MHE.The Sterling Warehouse Management System triggers replenishment tasks for theforward pick locations, considering the demand placed during the VAS retrievalprocess and the minimum levels for an SKU at the location.The Sterling Warehouse Management System Task Management creates andmanages all the tasks related to VAS component retrieval. The Sterling WarehouseManagement System uniquely tracks inventory that has been allocated to a workorder. This allows complete visibility and control over the execution or cancellationof a work order or its tasks."
Work Order Activity Confirmation,"A user confirms activities on a work order as per the BOM. The confirmation is amultiple step or a single step process. The Sterling Warehouse Management Systemallows service items to be associated with a work order. Each service itemrepresents activities to be performed for the service. The work order confirmationis done either at an activity level or at the complete work order level. For example,first retrieve the boxes and the individual phones to place them in boxes.Frequency programming is done as a second step by a different group of users.The Sterling Warehouse Management System displays all instructions (text andgraphics) for the activity to be performed on the work order.A case or a pallet LPN can be associated with the confirmation of an activity. Thisallows movement of product from one VAS station to another for subsequentactivity. New serial numbers can be associated to the product during confirmation.Labels can be generated and applied to the product as required during the VASoperation.Inventory is created for the parent SKU in the activity location. If a work order hascomponents, the component inventory is consumed.The work order status indicates the pending activity. The Sterling WarehouseManagement System productivity tracks information related to work order at theactivity completion level."
Putaway,"The Sterling Warehouse Management System putaway algorithms are initiatedeither automatically upon work order completion or manually by the VASdepartment.For work orders that are related to a sales order, putaway is performed to theappropriate packing or shipping area. For SKUs that are for future orders in a""Made to Order,"" are putaway to storage area for later retrieval.For a build-to-stock work order, putaway is suggested to the appropriate storageareas."
Visibility,"The Sterling Warehouse Management System provides work order visibility at agranular level. A work order consists of parent SKU, component SKUs and otherattributes. The combinations of these attributes are illustrated through thefollowing use cases and examples: View the status of all dekitting work orders for a particular shipmentCriteria used include node, enterprise, and service item group. View the status of the special ticketing work order for a case or palletCriteria used include node, enterprise, case or pallet LPN and service itemgroup. View all work orders awaiting release and due to start later todayCriteria used include node, enterprise, status range and start no earlier than dateand/or time View all open work orders that have 'cut paper' activity pending at VAS stationoneCriteria used include node, enterprise, activity code and location"
Resource Planning,"The Resource Planning tool provides warehouses the ability to plan for expectedworkload and determine the number of resources required to complete the activity.Having visibility to expected resources enables a warehouse to accurately plan forovertime, temporary staffing, and so forth, thus optimizing resource costs.The productivity of a warehouse is measured in terms of its efficiency, resources,and so forth. Planning aids warehouses in managing demands for their fulfillmentactivities. Appropriate outbound planning leads to significant cost saving as thewarehouse has visibility to resource requirements well ahead of time. Thewarehouse can plan for on-hand shipments or for future demands predicted basedon the historical data.The planning module estimates resource requirements for all the activitiesperformed in a warehouse such as: Replenishment Picking Packing Manifesting ShippingThe factors that affect planning are: The warehouse calendar, user calendars, equipment maintenance calendars Number of pack stations Number of docks Number of forklifts Number of staging locationsDepending on the available resources and constraints, you can yield results suchas: The demand that can be satisfied with the available resources The limiting factorsOnce the constraints are revealed, you can plan to see if you can do the followingto fulfill the demand: Extend the shift hours Increase the count of resources Shuffle demands based on the requested ship dates to days that have optimumcapacity"
